id,genres,imdbRating,weighting
5bc6863415307d543319bad2,Adventure*Comedy*Drama,5.6,36.6
5bc6863515307d543319bad3,Action*Crime*Thriller,5.7,20.7
5bc6863515307d543319bad4,Action*Adventure*Thriller,7.2,21.2
5bc6863515307d543319bad5,Comedy*Drama*Romance,6.8,38.8
5bc6863515307d543319bad6,Comedy*Fantasy*Horror,5.8,22.8
5bc6863515307d543319bad7,Horror,3.9,7.9
5bc6863615307d543319bad8,Animation*Adventure*Drama,7.1,29.1
5bc6863615307d543319bad9,Biography*Drama*History,7.1,27.1
5bc6863615307d543319bada,Action*Adventure*Comedy,5.6,25.6
5bc6863615307d543319badb,Crime*Drama,8.2,29.2
5bc6863615307d543319badc,Documentary*Biography,7.7,13.7
5bc6863715307d543319badd,Drama*Romance,7.7,28.7
5bc6863715307d543319bade,Comedy,6.7,17.7
5bc6863715307d543319badf,Adventure*Comedy*Crime,6.3,26.3
5bc6863715307d543319bae0,Action*Comedy*Crime,5.6,26.6
5bc6863715307d543319bae1,Documentary*Biography,7.1,13.1
5bc6863815307d543319bae2,Comedy*Crime*Thriller,6.9,27.9
5bc6863815307d543319bae3,Drama*Mystery*Thriller,6.6,29.6
5bc6863815307d543319bae4,Action*Crime*Thriller,6.3,21.3
5bc6863815307d543319bae5,Drama*Fantasy*Mystery,6.6,26.6
5bc6863815307d543319bae6,Drama*Romance,7.5,28.5
5bc6863815307d543319bae7,Documentary*Biography,7.6,13.6
5bc6863915307d543319bae8,Drama*Romance,6.9,27.9
5bc6863915307d543319bae9,Comedy*Drama*Romance,6.8,38.8
5bc6863915307d543319baea,Drama*Romance,7.6,28.6
5bc6863915307d543319baeb,Fantasy*Sci-Fi,7.6,11.6
5bc6863a15307d543319baec,Biography*Drama,6.4,24.4
5bc6863a15307d543319baed,Mystery*Sci-Fi*Thriller,8,17.0
5bc6863b15307d543319baee,Adventure*Romance,6.5,15.5
5bc6863b15307d543319baef,Comedy*Drama*Family,6.8,35.8
5bc6863b15307d543319baf0,Drama,6.3,22.3
5bc6863b15307d543319baf1,Biography*Drama*Romance,6.9,29.9
5bc6863b15307d543319baf2,Crime*Drama,7.5,28.5
5bc6863c15307d543319baf3,Adventure*Drama*Family,6.4,28.4
5bc6863c15307d543319baf4,Comedy*Family*Romance,5.8,23.8
5bc6863c15307d543319baf5,Comedy*Romance,6.8,22.8
5bc6863c15307d543319baf6,Drama*Thriller,6.9,27.9
5bc6863d15307d543319baf7,Drama*Sci-Fi*War,7.5,26.5
5bc6863d15307d543319baf8,Action*Crime*Drama,6.9,32.9
5bc6863d15307d543319baf9,Documentary*Biography,7,13.0
5bc6863d15307d543319bafa,Biography*Drama*History,6.7,26.7
5bc6863d15307d543319bafb,Action*Adventure*Fantasy,5.8,16.8
5bc6863e15307d543319bafc,Comedy*Crime*Drama,6.8,38.8
5bc6863e15307d543319bafd,Comedy*Drama*Romance,6.2,38.2
5bc6863e15307d543319bafe,Documentary*Biography*Music,8,16.0
5bc6863e15307d543319baff,Crime*Drama*Mystery,8.6,31.6
5bc6863e15307d543319bb00,Animation*Adventure*Drama,6.7,28.7
5bc6863e15307d543319bb01,Drama*Romance,6.6,27.6
5bc6863f15307d543319bb02,Crime*Mystery*Thriller,8.6,20.6
5bc6863f15307d543319bb03,Action*Drama*Thriller,4.9,30.9
5bc6863f15307d543319bb04,Animation*Comedy*Family,7,22.0
5bc6863f15307d543319bb05,Comedy*Fantasy*Romance,7.1,25.1
5bc6863f15307d543319bb06,Drama,7.6,23.6
5bc6864015307d543319bb07,Comedy*Family*Sport,5.5,19.5
5bc6864015307d543319bb08,Drama*Music,6.5,24.5
5bc6864015307d543319bb09,Documentary*Horror,7.1,15.1
5bc6864015307d543319bb0a,Adventure*Comedy*Family,4.9,21.9
5bc6864015307d543319bb0b,Comedy*Drama*Romance,6.6,38.6
5bc6864115307d543319bb0c,Drama*Family*Fantasy,5.9,25.9
5bc6864115307d543319bb0d,Crime*Drama*Thriller,6.1,32.1
5bc6864115307d543319bb0e,Documentary*Comedy,7.9,22.9
5bc6864115307d543319bb0f,Drama*Music,7.3,25.3
5bc6864115307d543319bb10,Comedy*Crime,6.6,22.6
5bc6864215307d543319bb11,Comedy*Crime*Romance,5.2,26.2
5bc6864215307d543319bb12,Comedy,4.4,15.4
5bc6864215307d543319bb13,Action*Sci-Fi*Thriller,2.4,14.4
5bc6864215307d543319bb14,Action*Crime*Drama,7.8,33.8
5bc6864215307d543319bb15,Drama,6.3,22.3
5bc6864315307d543319bb16,Comedy,6.4,17.4
5bc6864315307d543319bb17,Comedy*Drama,7.3,34.3
5bc6864315307d543319bb18,Action*Crime*Horror,7.3,21.3
5bc6864315307d543319bb19,Documentary*Sport,7.3,12.3
5bc6864315307d543319bb1a,Biography*Drama*Thriller,6.8,29.8
5bc6864415307d543319bb1b,Comedy*Drama*Romance,7,39.0
5bc6864415307d543319bb1c,Romance*Drama,6.1,27.1
5bc6864415307d543319bb1d,Comedy*Thriller,4.6,20.6
5bc6864415307d543319bb1e,Horror*Mystery*Thriller,6.8,17.8
5bc6864415307d543319bb1f,Sci-Fi*Thriller,6.4,13.4
5bc6864515307d543319bb20,Documentary*Biography*Music,7.3,15.3
5bc6864515307d543319bb21,Documentary,7.6,11.6
5bc6864515307d543319bb22,Drama*Thriller,6.3,27.3
5bc6864515307d543319bb23,Drama*Thriller,5.6,26.6
5bc6864515307d543319bb24,Drama*Family,7.8,25.8
5bc6864615307d543319bb25,Crime*Drama,6.8,27.8
5bc6864615307d543319bb26,Documentary*Biography,7.8,13.8
5bc6864615307d543319bb27,Comedy*Drama,7.5,34.5
5bc6864615307d543319bb28,Drama*Romance,7.2,28.2
5bc6864615307d543319bb29,Comedy*Drama,6,33.0
5bc6864715307d543319bb2a,Drama*Romance,7,28.0
5bc6864715307d543319bb2b,Documentary,7.8,11.8
5bc6864715307d543319bb2c,Adventure*Drama,6.6,26.6
5bc6864715307d543319bb2d,Comedy*Adventure*Family,5.3,22.3
5bc6864715307d543319bb2e,Comedy*Horror*Sci-Fi,5.8,22.8
5bc6864815307d543319bb2f,Action*Crime*Drama,6.3,32.3
5bc6864815307d543319bb30,Drama,6.6,22.6
5bc6864815307d543319bb31,Action*Crime*Drama,6.3,32.3
5bc6864815307d543319bb32,Drama*Horror*Romance,5.8,30.8
5bc6864815307d543319bb33,Comedy*Fantasy*Horror,4.5,21.5
5bc6864815307d543319bb34,Crime*Drama*Mystery,7.2,30.2
5bc6864915307d543319bb35,Comedy*Drama*Romance,7.2,39.2
5bc6864915307d543319bb36,Action*Adventure*Thriller,6,20.0
5bc6864915307d543319bb37,Comedy,7.3,18.3
5bc6864915307d543319bb38,Crime*Drama,8.1,29.1
5bc6864915307d543319bb39,Drama*Fantasy*Romance,4.8,27.8
5bc6864a15307d543319bb3a,Action*Crime*Drama,5.4,31.4
5bc6864a15307d543319bb3b,Documentary*Biography,6.6,12.6
5bc6864a15307d543319bb3c,Drama,6.2,22.2
5bc6864a15307d543319bb3d,Comedy*Crime*Drama,7.1,39.1
5bc6864a15307d543319bb3e,Drama,5.5,21.5
5bc6864b15307d543319bb3f,Comedy,3.8,14.8
5bc6864b15307d543319bb40,Crime*Drama*Mystery,6.8,29.8
5bc6864b15307d543319bb41,Comedy*Sport,7,19.0
5bc6864b15307d543319bb42,Drama*Romance,7.6,28.6
5bc6864b15307d543319bb43,Comedy*Drama,7.3,34.3
5bc6864c15307d543319bb44,Animation*Comedy*Family,7.1,22.1
5bc6864c15307d543319bb45,Action*Adventure*Comedy,6.9,26.9
5bc6864c15307d543319bb46,Documentary,6.4,10.4
5bc6864c15307d543319bb47,Comedy*Crime*Drama,4.7,36.7
5bc6864c15307d543319bb48,Biography*Drama*History*War,8.4,29.4
5bc6864d15307d543319bb49,Crime*Drama,8.3,29.3
5bc6864d15307d543319bb4a,Documentary,6.8,10.8
5bc6864d15307d543319bb4b,Action*Comedy*Crime*Thriller,6.8,32.8
5bc6864d15307d543319bb4c,Crime*Drama*Mystery,6.1,29.1
5bc6864d15307d543319bb4d,Drama,7.3,23.3
5bc6864e15307d543319bb4e,Comedy,7.1,18.1
